uniqueID,DELETE_UseName,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,division,state,DELETE_electionDate,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
bluntcharles1984,Charles,Blunt,Charles William,,,,Richmond,NSW,18.2.1984,1984-2-18,18,2,1984,Yes,Defeated,,1990-3-24,1990,3,24,
bonnettrobert1966,Robert,Bonnett,Robert Noel,,,,Herbert,QLD,26.11.1966,1966-11-26,26,11,1966,No,Retired,,1977-11-10,1977,11,10,
bonythonjohn1901,John,Bonython,John Langdon,Sir,,,South Australia,SA,30.3.1901,1901-3-30,30,3,1901,No,Until elected for Barker ,1,1903-12-16,1903,12,16,
,,,,,,,Barker,SA,16.12.1903,1903-12-16,16,12,1903,No,Retired,,1906-11-5,1906,11,5,
bosmanleonard1963,Leonard,Bosman,Leonard Lewis,,,,St George,NSW,30.11.1963,1963-11-30,30,11,1963,No,Defeated,,1969-10-25,1969,10,25,
bostockwilliam1949,William,Bostock,William Dowling,,,,Indi,VIC,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1958-11-22,1958,11,22,
bourchierjohn1972,John,Bourchier,John William,,,,Bendigo,VIC,2.12.1972,1972-12-2,2,12,1972,No,Defeated,,1983-3-5,1983,3,5,
bourkewilliam1949,William,Bourke,William Meskill,,,,Fawkner,VIC,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1955-12-10,1955,12,10,
bowdeneric1906,Eric,Bowden,Eric Kendall,,,,Nepean,NSW,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1910-4-13,1910,4,13,
,,,,,,,Nepean,NSW,13.12.1919,1919-12-13,13,12,1919,No,Until elected for Parramatta ,1,1922-12-16,1922,12,16,
,,,,,,,Parramatta,NSW,16.12.1922,1922-12-16,16,12,1922,No,Defeated,,1929-10-12,1929,10,12,
bowdengeorge1943,George,Bowden,George James,,,,Gippsland,VIC,21.8.1943,1943-8-21,21,8,1943,No,Retired,,1961-11-2,1961,11,2,
bowenchristopher2004,Christopher,Bowen,Christopher Eyles,,,,Prospect,NSW,9.10.2004,2004-10-9,9,10,2004,No,Until elected for McMahon ,1,2010-8-21,2010,8,21,
,,,,,,,McMahon,NSW,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
bowenlionel1969,Lionel,Bowen,Lionel Frost,,,,Kingsford-Smith,NSW,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1990-2-19,1990,2,19,Same as Kingsford Smith - name was changed in 2001
bowennigel1964,Nigel,Bowen,Nigel Hubert,,,,Parramatta,NSW,20.6.1964,1964-6-20,20,6,1964,Yes,Resigned,,1973-7-11,1973,7,11,
boydjames1913,James,Boyd,James Arthur,,,,Henty,VIC,31.5.1913,1913-5-31,31,5,1913,No,Defeated,,1919-12-13,1919,12,13,
bradburydavid2007,David,Bradbury,David John,,,,Lindsay,NSW,24.11.2007,2007-11-24,24,11,2007,No,Defeated,,2013-9-7,2013,9,7,
braddonedward1901,Edward,Braddon,Edward Nicholas Coventry,Sir,,,Tasmania,TAS,29.3.1901,1901-3-29,29,3,1901,No,Until elected for Wilmot ,1,1903-12-16,1903,12,16,
,,,,,,,Wilmot,TAS,16.12.1903,1903-12-16,16,12,1903,No,Died,,1904-2-2,1904,2,2,
bradfieldjames1975,James,Bradfield,James Mark,,,,Barton,NSW,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1983-3-5,1983,3,5,
bradfordjohn1990,John,Bradford,John Walter,,,,McPherson,QLD,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,1998-10-3,1998,10,3,
braithwaiteray1975,Ray,Braithwaite,Raymond Allen,,Ray,,Dawson,QLD,13.12.1975,1975-12-13,13,12,1975,No,Retired,,1996-1-29,1996,1,29,
brandwilliam1954,William,Brand,William Alfred,,,,Wide Bay,QLD,29.5.1954,1954-5-29,29,5,1954,No,Retired,,1958-10-14,1958,10,14,
breenjohn1940,John,Breen,John Patrick,,,,Calare,NSW,21.9.1940,1940-9-21,21,9,1940,No,Defeated,,1946-9-28,1946,9,28,
brennanfrank1911,Frank,Brennan,Frank,,,,Batman,VIC,8.2.1911,1911-2-8,8,2,1911,Yes,Defeated,,1931-12-19,1931,12,19,
,,,,,,,Batman,VIC,15.9.1934,1934-9-15,15,9,1934,No,Retired,,1949-10-31,1949,10,31,
breretonlaurence1990,Laurence,Brereton,Laurence John,,,,Kingsford-Smith,NSW,24.3.1990,1990-3-24,24,3,1990,No,Retired,,2004-8-31,2004,8,31,Same as Kingsford Smith - name was changed in 2001
bridgesmaxwellcrawford1964,Crawford,Bridges-Maxwell,Crawford William,,,,Robertson,NSW,5.12.1964,1964-12-5,5,12,1964,Yes,Defeated,,1969-10-25,1969,10,25,
briggsjamie2008,Jamie,Briggs,Jamie Edward,,,,Mayo,SA,6.9.2008,2008-9-6,6,9,2008,Yes,Defeated,,2016-7-2,2016,7,2,
brimblecombewilfred1951,Wilfred,Brimblecombe,Wilfred John,,,,Maranoa,QLD,28.4.1951,1951-4-28,28,4,1951,No,Retired,,1966-10-31,1966,10,31,
broadandrew2013,Andrew,Broad,Andrew John,,,,Mallee,VIC,7.9.2013,2013-9-7,7,9,2013,No,,,,,,,
broadbentrussell1990,Russell,Broadbent,Russell Evan,,,,Corinella,VIC,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,1993-3-13,1993,3,13,
,,,,,,,McMillan,VIC,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,1998-10-3,1998,10,3,
,,,,,,,McMillan,VIC,9.10.2004,2004-10-9,9,10,2004,No,,,,,,,
brodtmanngai2010,Gai,Brodtmann,Gai Marie,,,,Canberra,ACT,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
broughmalcolm1996,Malcolm,Brough,Malcolm Thomas,,,,Longman,QLD,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,2007-11-24,2007,11,24,
,,,,,,,Fisher,QLD,7.9.2013,2013-9-7,7,9,2013,No,Retired,,2016-5-9,2016,5,9,
browngeoffrey1949,Geoffrey,Brown,Geoffrey William,,,,McMillan,VIC,10.12.1949,1949-12-10,10,12,1949,No,Died,,1955-10-14,1955,10,14,
brownjohn1977,John,Brown,John Joseph,,,,Parramatta,NSW,10.12.1977,1977-12-10,10,12,1977,No,Retired,,1990-2-19,1990,2,19,
brownjoseph1906,Joseph,Brown,Joseph Tilley,,,,Indi,VIC,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1910-4-13,1910,4,13,
brownneil1969,Neil,Brown,Neil Anthony,,,,Diamond Valley,VIC,25.10.1969,1969-10-25,25,10,1969,No,Defeated,,1972-12-2,1972,12,2,
,,,,,,,Diamond Valley,VIC,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1983-3-5,1983,3,5,
,,,,,,,Menzies,VIC,1.12.1984,1984-12-1,1,12,1984,No,Resigned,,1991-2-25,1991,2,25,
brownbob1980,Bob,Brown,Robert James,,Bob,,Hunter,NSW,18.10.1980,1980-10-18,18,10,1980,No,Until elected for Charlton ,1,1984-12-1,1984,12,1,
,,,,,,,Charlton,NSW,1.12.1984,1984-12-1,1,12,1984,No,Retired,,1998-8-31,1998,8,31,
brownthomas1901,Thomas,Brown,Thomas,,,,Canobolas,NSW,29.3.1901,1901-3-29,29,3,1901,No,Until elected for Calare ,1,1906-12-12,1906,12,12,
,,,,,,,Calare,NSW,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1913-5-31,1913,5,31,
brownbillkay1966,Kay,Brownbill,Kay Cathrine Millin,,,,Kingston,SA,26.11.1966,1966-11-26,26,11,1966,No,Defeated,,1969-10-25,1969,10,25,
brownepeter1958,Peter,Browne,Peter Grahame,,,,Kalgoorlie,WA,22.11.1958,1958-11-22,22,11,1958,No,Defeated,,1961-12-9,1961,12,9,
brucehenry1951,Henry,Bruce,Henry Adam,,,,Leichhardt,QLD,28.4.1951,1951-4-28,28,4,1951,No,Died,,1958-10-11,1958,10,11,
