uniqueID,division,state,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
brownepeter1958,Kalgoorlie,WA,1958-11-22,22,11,1958,No,Defeated,NA,1961-12-09,1961,12,9,NA
brucehenry1951,Leichhardt,QLD,1951-04-28,28,4,1951,No,Died,NA,1958-10-11,1958,10,11,NA
brucestanley1918,Flinders,VIC,1918-05-11,11,5,1918,Yes,Defeated,NA,1929-10-12,1929,10,12,NA
brucestanley1918,Flinders,VIC,1931-12-19,19,12,1931,No,Resigned,NA,1933-10-06,1933,10,6,NA
brumbyjohn1983,Bendigo,VIC,1983-03-05,5,3,1983,No,Defeated,NA,1990-03-24,1990,3,24,NA
bryantgordon1955,Wills,VIC,1955-12-10,10,12,1955,No,Retired,NA,1980-09-19,1980,9,19,NA
brysonwilliam1943,Bourke,VIC,1943-08-21,21,8,1943,No,Defeated,NA,1946-09-28,1946,9,28,NA
brysonwilliam1943,Wills,VIC,1949-12-10,10,12,1949,No,Defeated,NA,1955-12-10,1955,12,10,NA
buchananalexander1955,McMillan,VIC,1955-12-10,10,12,1955,No,Defeated,NA,1972-12-02,1972,12,2,NA
buchholzscott2010,Wright,QLD,2010-08-21,21,8,2010,No,NA,NA,NA,NA,NA,NA,NA
bungeymelville1974,Canning,WA,1974-05-18,18,5,1974,No,Defeated,NA,1983-03-05,1983,3,5,NA
burchellreginald1913,Fremantle,WA,1913-05-31,31,5,1913,No,Retired,NA,1922-11-06,1922,11,6,NA
burkeanna1998,Chisholm,VIC,1998-10-03,3,10,1998,No,Retired,NA,2016-05-09,2016,5,9,NA
burkeanthony2004,Watson,NSW,2004-10-09,9,10,2004,No,NA,NA,NA,NA,NA,NA,NA
burkethomas1943,Perth,WA,1943-08-21,21,8,1943,No,Defeated,NA,1955-12-10,1955,12,10,NA
burneylinda2016,Barton,NSW,2016-07-02,2,7,2016,No,NA,NA,NA,NA,NA,NA,NA
burnsgeorge1913,Illawarra,NSW,1913-05-31,31,5,1913,No,Defeated,NA,1917-05-05,1917,5,5,NA
burnswilliam1977,Isaacs,VIC,1977-12-10,10,12,1977,No,Defeated,NA,1980-10-18,1980,10,18,NA
burrmax1975,Wilmot,TAS,1975-12-13,13,12,1975,No,Until elected for Lyons,1,1984-12-01,1984,12,1,NA
burrmax1975,Lyons,TAS,1984-12-01,1,12,1984,No,Retired,NA,1993-02-08,1993,2,8,NA
buryleslie1956,Wentworth,NSW,1956-12-08,8,12,1956,Yes,Retired,NA,1974-04-11,1974,4,11,NA
butlermark2007,Port Adelaide,SA,2007-11-24,24,11,2007,No,NA,NA,NA,NA,NA,NA,NA
butlerterri2014,Griffith,QLD,2014-02-08,8,2,2014,Yes,NA,NA,NA,NA,NA,NA,NA
byrneanthony1999,Holt,VIC,1999-11-06,6,11,1999,Yes,NA,NA,NA,NA,NA,NA,NA
cadmanalan1974,Mitchell,NSW,1974-05-18,18,5,1974,No,Retired,NA,2007-10-17,2007,10,17,NA
cairnsjim1955,Yarra,VIC,1955-12-10,10,12,1955,No,Until elected for Lalor,1,1969-10-25,1969,10,25,NA
cairnsjim1955,Lalor,VIC,1969-10-25,25,10,1969,No,Retired,NA,1977-11-10,1977,11,10,NA
cairnskevin1963,Lilley,QLD,1963-11-30,30,11,1963,No,Defeated,NA,1972-12-02,1972,12,2,NA
cairnskevin1963,Lilley,QLD,1974-05-18,18,5,1974,No,Defeated,NA,1980-10-18,1980,10,18,NA
calderstephen1966,Northern Territory,NT,1966-11-26,26,11,1966,No,Retired,NA,1980-09-19,1980,9,19,NA
calwellarthur1940,Melbourne,VIC,1940-09-21,21,9,1940,No,Retired,NA,1972-11-02,1972,11,2,NA
cameronarchie1934,Barker,SA,1934-09-15,15,9,1934,No,Died,NA,1956-08-09,1956,8,9,NA
cameronclyde1949,Hindmarsh,SA,1949-12-10,10,12,1949,No,Retired,NA,1980-09-19,1980,9,19,NA
camerondonaldalastair1949,Oxley,QLD,1949-12-10,10,12,1949,No,Defeated,NA,1961-12-09,1961,12,9,NA
camerondonaldcharles1919,Brisbane,QLD,1919-12-13,13,12,1919,No,Defeated,NA,1931-12-19,1931,12,19,NA
camerondonaldjames1961,Lilley,QLD,1961-12-09,9,12,1961,No,Defeated,NA,1963-11-30,1963,11,30,NA
camerondonaldmilner1966,Griffith,QLD,1966-11-26,26,11,1966,No,Until elected for Fadden,1,1977-12-10,1977,12,10,NA
camerondonaldmilner1966,Fadden,QLD,1977-12-10,10,12,1977,No,Defeated,NA,1983-03-05,1983,3,5,NA
camerondonaldmilner1966,Moreton,QLD,1983-11-05,5,11,1983,Yes,Defeated,NA,1990-03-24,1990,3,24,NA
camerondonaldnorman1901,Tasmania,TAS,1901-03-29,29,3,1901,No,Defeated,NA,1903-12-16,1903,12,16,NA
camerondonaldnorman1901,Wilmot,TAS,1904-02-26,26,2,1904,Yes,Defeated,NA,1906-12-12,1906,12,12,NA
