government,topic,median,upper,lower
14,2,-1.6197871327218167,-1.4826167405139412,-1.7741164594030565
14,3,-1.7448496344700317,-1.6186636084246087,-1.8848154677010294
14,4,-0.4847073171190902,-0.3673760017634497,-0.6416009107122624
14,5,-0.5556994003516366,-0.4198954416498854,-0.7412498730015128
14,6,-1.937364873342216,-1.814889794415079,-2.079918267865031
14,7,-2.0613894505509522,-1.934702248503491,-2.1969588715513853
14,8,-1.197211130274691,-1.0794648509272868,-1.346636159517865
14,9,-1.784435588208762,-1.6707190158776264,-1.9385710460590502
14,10,-1.4735071002547948,-1.3409671276686024,-1.617492929289297
14,11,-1.4249339608434146,-1.2721535694445023,-1.6012648132773746
14,12,-1.7217255605018271,-1.5992567884252205,-1.8666856239514305
14,13,-1.5620336843650895,-1.4509974718613046,-1.7049942215575067
14,14,-1.016578101718886,-0.8390304879853152,-1.2418475856851228
14,15,-0.7685164028693199,-0.637912576620403,-0.9087330642549674
14,16,-1.5794732769821815,-1.46455383857383,-1.729011724752992
14,17,0.19066135302444898,0.3008500352676409,0.069635552539613
14,18,-0.7519068196325621,-0.6060577073618496,-0.8945689235712704
15,1,0.035702636367908394,0.22818911343520806,-0.18321731484849796
15,2,-1.3327915762180786,-1.1459893300348758,-1.5326840668074455
15,3,-1.6773756780635,-1.4793774891870224,-1.8911700049753035
15,4,-0.33300716216096615,-0.16748287072223467,-0.519399984584505
15,5,-0.34655886210302994,-0.14993514265606192,-0.5532647018291851
15,6,-1.735076012710489,-1.5472947184593655,-1.9342721923995063
15,7,-1.953303815143923,-1.7751706071697686,-2.147880785317311
15,8,-0.7208249848980335,-0.5523106431857758,-0.9109968339624683
15,9,-1.6937905281422974,-1.5114443673894629,-1.889146806096784
15,10,-1.2451881965751035,-1.0509994491066326,-1.4472816318884425
15,11,-1.3307784395668982,-1.1508393372236152,-1.5262679364715204
15,12,-1.5343327840683325,-1.3499383519453896,-1.7366055197107066
15,13,-1.2669550008697568,-1.0814069911073694,-1.4697547081892353
15,14,-0.34861938011643745,-0.16612977561277875,-0.5618675446404711
15,15,1.0507619996841293,1.2192339074327283,0.8689628214417427
15,16,-1.3591540326073162,-1.1722983535118818,-1.5625368203587997
15,17,-0.306959659399594,-0.13807773229238482,-0.48798511549639206
15,18,-0.32396838088357105,-0.15244833589787105,-0.5134646512465911
16,1,-0.225023367034193,-0.0946293249357051,-0.3727757582795008
16,2,-1.2646558046423952,-1.125617774366437,-1.4094078265164547
16,3,-1.58370211360342,-1.4124117002087238,-1.7820612577804056
16,4,-0.6518783119447307,-0.4895898585723155,-0.8423281892022221
16,5,-0.12230036230700903,0.014833300094496857,-0.2812039562037816
16,6,-1.7811879267055883,-1.6334408603160437,-1.9628450210545094
16,7,-2.026496573744468,-1.8720213005812119,-2.2007000615623458
16,8,-1.3493547545324147,-1.197905940286626,-1.4997455275188918
16,9,-1.7640194297470568,-1.6127501511820694,-1.9381959416924444
16,10,-1.4238705842801214,-1.2511199291452895,-1.6125072468216632
16,11,-1.2627564570285892,-1.1302988177516848,-1.4239527554122866
16,12,-1.5288332329142091,-1.3691009358608512,-1.7113677498314457
16,13,-1.4942088618167286,-1.3197867396120173,-1.6903736496222173
16,14,-0.8140997386147919,-0.6791721702495105,-0.974345286963705
16,15,1.3376604769775504,1.4793240862218193,1.1866631251757391
16,16,-1.4915839920457719,-1.351068451639453,-1.646727340123658
16,17,-0.6346263903808906,-0.48441953202389276,-0.8105755474582655
16,18,-0.687748564639709,-0.5193704606193241,-0.8670173340840688
17,1,-0.3556634602656793,-0.21407072018891307,-0.5076864274106145
17,2,-0.8764012235581866,-0.7597750530053315,-1.0134642611645632
17,3,-1.4277855831522062,-1.313952828075109,-1.5683217960655222
17,4,-0.4241749544536606,-0.29634203261894304,-0.5744763301417285
17,5,-0.0386091639622866,0.11257047193035799,-0.19222448603819736
17,6,-1.7232848075017018,-1.6021372444598447,-1.8638987691404474
17,7,-1.9977051275537723,-1.8819145318583856,-2.1401914410023237
17,8,-1.2087791117397113,-1.0873804519648553,-1.3352482417953009
17,9,-1.4507992440975892,-1.3255125637798457,-1.5970032941542898
17,10,-1.0918871619807984,-0.9714985830726328,-1.235055331135651
17,11,-1.2508148838874256,-1.1239374261684945,-1.4077484008716894
17,12,-1.4777190708481593,-1.3445745597975522,-1.6329723242810965
17,13,-1.1650584265748996,-1.0458644684066265,-1.294959856370685
17,14,-0.9413350983111978,-0.7985460030299989,-1.1173675521689297
17,15,1.2029370526163135,1.2995811966535848,1.087737928259859
17,16,-1.325838965888571,-1.2082253485690861,-1.4583625719903974
17,17,-0.33462662383551667,-0.19215988098705086,-0.49439779136365747
17,18,-0.2810501294053232,-0.15506261097712304,-0.44065356084608576
18,1,-0.1342091527485606,-0.0455905307299267,-0.2307431780601928
18,2,-0.5271034177604479,-0.4258378623807424,-0.6393207441416745
18,3,-1.4076256091468693,-1.3247544384356513,-1.502161849676865
18,4,-0.7713919141384296,-0.680674271708451,-0.8740125843979224
18,5,-0.14478643883450004,-0.06437894034510491,-0.22850381280267681
18,6,-1.6256177411149055,-1.5429312513693318,-1.7230440663391744
18,7,-2.056650175621199,-1.9738865994089714,-2.152511974861036
18,8,-1.218103809599108,-1.1232844634833417,-1.3191176717402648
18,9,-1.5571132823754694,-1.4684646445960023,-1.6598877609879932
18,10,-1.0736440933844071,-0.9855094993284493,-1.166843612518665
18,11,-1.3798380976872173,-1.3006168349945622,-1.4691570975635344
18,12,-1.4548662004848327,-1.3766022153416153,-1.5473935436668795
18,13,-1.2597361219743899,-1.180040138200421,-1.3598805973066328
18,14,-0.9570503154738259,-0.8685973063786115,-1.05003304563311
18,15,-0.5298973620421372,-0.45654470933961466,-0.6066783188574962
18,16,-1.4504412478255846,-1.355549996065322,-1.5513507219332785
18,17,-0.4211519322708046,-0.3348617753503866,-0.5149344653001802
18,18,-0.004138770743091973,0.07523678239746616,-0.08545796176981174
19,1,0.19565102348472102,0.34933303518488584,0.015094142017201015
19,2,-0.7482159629336037,-0.5638405256503208,-0.9575462545337341
19,3,-1.1507291817470922,-0.9742529017810668,-1.3401653513604475
19,4,-0.5068327165254352,-0.336351019111655,-0.6820153835987371
19,5,-0.1194348741744034,0.07182921243681974,-0.335516800477719
19,6,-1.0556709760729217,-0.8788260592417496,-1.2556676300283354
19,7,-1.7352552488362556,-1.5676548367269203,-1.9214602069913156
19,8,-1.0778888643212228,-0.9069767436670837,-1.2761009886449899
19,9,-1.3826277755463425,-1.202084694423221,-1.5778965393479398
19,10,-0.6414570420084057,-0.4403695181453887,-0.8552047927866208
19,11,-1.2834768479893364,-1.1068293159202944,-1.4823171142293492
19,12,-1.1044727834903965,-0.9366818935043777,-1.2882984017408852
19,13,-1.004345424399332,-0.8349975936531681,-1.1944088441956013
19,14,-0.9308317003378894,-0.7601667071191853,-1.1127061511949847
19,15,-0.6957321768410742,-0.502734714623023,-0.9265260546190065
19,16,-1.2589947047229177,-1.0499067064566612,-1.4731773572078652
19,17,-0.05335241708884604,0.11773665536338956,-0.2536882529196013
19,18,0.7129259126292535,0.8813243123329462,0.5286976204758724
20,1,0.09280246222155233,0.22810796564794655,-0.059553921194607784
20,2,-1.0859006011272854,-0.9562469686018437,-1.2338683083011388
20,3,-1.0617613492401845,-0.9085159452901742,-1.2378006883645767
20,4,-0.36551620310765554,-0.2274028116014016,-0.5236512738673235
20,5,-0.0019984418140633967,0.15082845123322636,-0.17843172279529784
20,6,-0.8082251317027094,-0.6797380840288842,-0.9740933632179937
20,7,-1.5807334727172155,-1.447097550336337,-1.7278185023852446
20,8,-1.0103213910313538,-0.8833703708959221,-1.1593079504077295
20,9,-1.400897262142916,-1.2688652613007454,-1.5488171959176331
20,10,-0.3174197810974194,-0.18333473176259793,-0.4706294333975468
20,11,-1.0937541598485763,-0.9476850926175038,-1.2560642223881655
20,12,-0.7747219665597209,-0.6310729235635743,-0.9354155386722147
20,13,-0.9325343354410061,-0.8031143944860848,-1.08344497226277
20,14,-1.009240117476481,-0.8802560819213433,-1.1671534372570074
20,15,-0.5861431023935169,-0.4579388916470336,-0.7312502055020117
20,16,-1.100968604899115,-0.9535308476399519,-1.2600997194056551
20,17,0.02643242239291302,0.1679352328485505,-0.13231863988994982
20,18,0.8363664656197753,0.9468576821653452,0.7041554321932993
21,1,0.40941998867766094,0.5523369940737565,0.2558271883097528
21,2,-1.2406774295231764,-1.0853127739462378,-1.4053167673501594
21,3,-0.7948604316137452,-0.6248910595457726,-0.9754741261476761
21,4,-0.2857405518476448,-0.12498819392238905,-0.44691392026207205
21,5,0.20855561457170727,0.3611413034818843,0.053864275047337214
21,6,-0.5013428463336744,-0.33529642705186424,-0.6700096584746529
21,7,-1.432027076235033,-1.268888679176442,-1.6045797730497906
21,8,-0.9343229607334137,-0.778569474129494,-1.103368583812387
21,9,-1.2439574981884154,-1.081133075471694,-1.4168685559041887
21,10,-0.31867308385987253,-0.16355856622794065,-0.4774843221786237
21,11,-0.9285257399474965,-0.7548149281818491,-1.1066179767093587
21,12,-0.2104514380792048,-0.03677968963361667,-0.38861790331417656
21,13,-1.0173603375028597,-0.8520609623123482,-1.192451533117761
21,14,-0.9946060636573191,-0.8334976959289321,-1.166156837250851
21,15,-0.738108117382571,-0.58073562786528,-0.901541677792334
21,16,-0.9288430659677054,-0.7741251900178114,-1.1056337363480482
21,17,-0.03245696962239472,0.12070444975977822,-0.19488640064301266
21,18,0.6756195683820305,0.8098705201166276,0.5349795648615134
22,1,0.2825902355700505,0.4129131648867473,0.13789224929592522
22,2,-1.248881613969853,-1.0491283341887403,-1.502265892093169
22,3,-1.0443384640138813,-0.8848701048258949,-1.2406337223672197
22,4,-0.7096634617909556,-0.5429087038796752,-0.9359186037556485
22,5,-0.0836019109878994,0.1212314149469187,-0.3097601187887733
22,6,-1.0798411910121992,-0.9290581564112466,-1.2671281105579841
