date,Chamber,PdfDocId,chamber_type,URL,file_name
1908-11-03,Legislative Assembly,HANSARD-290296563-3254,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3254,NSW-1908-11-03-A.pdf
1908-10-29,Legislative Assembly,HANSARD-290296563-3253,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3253,NSW-1908-10-29-A.pdf
1908-10-28,Legislative Assembly,HANSARD-290296563-3252,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3252,NSW-1908-10-28-A.pdf
1908-10-28,Legislative Council,HANSARD-290296563-7113,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7113,NSW-1908-10-28-C.pdf
1908-10-27,Legislative Assembly,HANSARD-290296563-3251,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3251,NSW-1908-10-27-A.pdf
1908-10-22,Legislative Assembly,HANSARD-290296563-3250,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3250,NSW-1908-10-22-A.pdf
1908-10-21,Legislative Assembly,HANSARD-290296563-3249,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3249,NSW-1908-10-21-A.pdf
1908-10-21,Legislative Council,HANSARD-290296563-7112,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7112,NSW-1908-10-21-C.pdf
1908-10-20,Legislative Assembly,HANSARD-290296563-3248,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3248,NSW-1908-10-20-A.pdf
1908-10-15,Legislative Assembly,HANSARD-290296563-3247,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3247,NSW-1908-10-15-A.pdf
1908-10-14,Legislative Assembly,HANSARD-290296563-3246,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3246,NSW-1908-10-14-A.pdf
1908-10-14,Legislative Council,HANSARD-290296563-7111,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7111,NSW-1908-10-14-C.pdf
1908-10-13,Legislative Assembly,HANSARD-290296563-3245,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3245,NSW-1908-10-13-A.pdf
1908-10-08,Legislative Assembly,HANSARD-290296563-3244,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3244,NSW-1908-10-08-A.pdf
1908-10-08,Legislative Council,HANSARD-290296563-7110,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7110,NSW-1908-10-08-C.pdf
1908-10-07,Legislative Assembly,HANSARD-290296563-3243,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3243,NSW-1908-10-07-A.pdf
1908-10-06,Legislative Assembly,HANSARD-290296563-3242,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3242,NSW-1908-10-06-A.pdf
1908-10-01,Legislative Assembly,HANSARD-290296563-3241,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3241,NSW-1908-10-01-A.pdf
1908-09-30,Legislative Assembly,HANSARD-290296563-3240,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3240,NSW-1908-09-30-A.pdf
1908-09-30,Legislative Council,HANSARD-290296563-7109,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7109,NSW-1908-09-30-C.pdf
1908-09-29,Legislative Assembly,HANSARD-290296563-3239,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3239,NSW-1908-09-29-A.pdf
1908-09-24,Legislative Assembly,HANSARD-290296563-3238,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3238,NSW-1908-09-24-A.pdf
1908-09-24,Legislative Council,HANSARD-290296563-7108,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7108,NSW-1908-09-24-C.pdf
1908-09-23,Legislative Assembly,HANSARD-290296563-3237,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3237,NSW-1908-09-23-A.pdf
